_id,Reporting date,Card Type,Category,Series Description,Sector,Sub-sector,ObservationType,Observation Scale,Value
214,2015-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,149228
215,2015-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,119615
216,2015-12,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,29613
217,2016-01,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4265650
218,2016-01,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3449146
219,2016-01,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1350880
220,2016-01,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2098266
221,2016-01,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,816504
222,2016-01,Credit Cards,Gross Transactions,New Spending during the Month on Personal Credit Cards,,,Value,Euro Thousands,653143
223,2016-01,Credit Cards,Gross Transactions,New Spending during the Month Business Credit Cards,,,Value,Euro Thousands,163361
224,2016-01,All,Gross Transactions,Total E-Commerce Expenditure,,,Value,Euro Thousands,1025344
225,2016-01,Debit Cards,Gross Transactions,E-Commerce Expenditure during the Month,,,Value,Euro Thousands,720365
226,2016-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - personal credit cards,,,Value,Euro Thousands,209612
227,2016-01,Credit Cards,Gross Transactions,E-Commerce Expenditure during the Month - business credit cards,,,Value,Euro Thousands,95367
228,2016-01,All,Gross Transactions,Total Expenditure outside Ireland during the Month,,,Value,Euro Thousands,370288
229,2016-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards,,,Value,Euro Thousands,228046
230,2016-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w ATM,,,Value,Euro Thousands,64291
231,2016-01,Debit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Debit Cards o/w POS,,,Value,Euro Thousands,163755
232,2016-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards,,,Value,Euro Thousands,142242
233,2016-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Personal Cards,,,Value,Euro Thousands,111456
234,2016-01,Credit Cards,Gross Transactions,Total Expenditure outside Ireland during the Month Credit Cards - Business Cards,,,Value,Euro Thousands,30786
235,2016-02,All,Gross Transactions,Total New Spending during the Month on all Cards,,,Value,Euro Thousands,4575522
236,2016-02,Debit Cards,Gross Transactions,Total New Spending during the Month on Debit Cards,,,Value,Euro Thousands,3727145
237,2016-02,Debit Cards,Gross Transactions,ATM Transactions,,,Value,Euro Thousands,1446193
238,2016-02,Debit Cards,Gross Transactions,POS Transactions,,,Value,Euro Thousands,2280952
239,2016-02,Credit Cards,Gross Transactions,Total New Spending during the Month on all Credit Cards,,,Value,Euro Thousands,848377
